Title,URL,Product,Items Available,Final Price,Date closed,Seller name,Seller page,Description
APPLE IPHONE 6S - 64GB - SPACE GREY,https://www.bidorbuy.co.za/item/308896488/APPLE_IPHONE_6S_64GB_SPACE_GREY.html,"
  ,  iPhone 6s  64GB  iOS  4.5 to 4.9 Inches  12 Megapixels or more",1,"R5,499.",10/21/2017,TECH_STORE,https://www.bidorbuy.co.za/seller/953669/TECH_STORE,"
	,	
	  , ,IPHONE 6S,EXCELLENT CONDITION,OPEN TO ALL NETWORKS ,64GB SPACE GREY,UNLOCKED,IN BOX WITH CHARGER AND CABLE,actual pics:,NETWORK,Technology,GSM / CDMA / HSPA / EVDO / LTE,BODY,Dimensions,138.3 x 67.1 x 7.1 mm (5.44 x 2.64 x 0.28 in),Weight,143 g (5.04 oz),SIM,Nano-SIM,- Apple Pay (Visa, MasterCard, AMEX certified),DISPLAY,Type,LED-backlit IPS LCD, capacitive touchscreen, 16M colors,Size,4.7 inches (~65.6% screen-to-body ratio),Resolution,750 x 1334 pixels (~326 ppi pixel density),Multitouch,Yes,Protection,Ion-strengthened glass, oleophobic coating,- Force Touch display,- Display Zoom,PLATFORM,OSiOS 10,Chipset,Apple A9,CPU,Dual-core 1.84 GHz Twister,GPU,PowerVR GT7600 (six-core graphics),Internal,64 GB, 2 GB RAM,CAMERA,Primary,12 MP, f/2.2, 29mm, phase detection autofocus, dual-LED (dual tone) flash, check quality,Features,1/3"" sensor size, 1.22 µm pixel size, geo-tagging, simultaneous 4K video and 8MP image recording, touch focus, face/smile detection, HDR (photo/panorama),Video,2160p@30fps, 1080p@60fps,1080p@120fps, 720p@240fps, check quality,Secondary,5 MP, f/2.2, 31mm, 1080p@30fps, 720p@240fps, face detection, HDR, panorama,SOUND,Alert types,Vibration, proprietary ringtones,Loudspeaker,Yes,3.5mm jack,Yes,COMMS,WLANWi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot,Bluetooth,v4.2, A2DP, LE,GPS,Yes, with A-GPS, GLONASS,NFC,Yes (Apple Pay only),USB,v2.0, reversible connector,FEATURES,SensorsFingerprint, accelerometer, gyro, proximity, compass, barometer,Messaging,iMessage, SMS (threaded view), MMS, Email, Push Email,Browser,HTML5 (Safari), ,- Active noise cancellation with dedicated mic,- Siri natural language commands and dictation,- iCloud cloud service,- iCloud Keychain,- TV-out,- Maps,- Organizer,- Document editor,- Photo/video editor, ,BATTERY,Non-removable Li-Po 1715 mAh battery (6.9 Wh),Stand-byUp to 240 h (3G),Talk timeUp to 14 h (3G),Music playUp to 50 h,
  ,
,    
"
,,,,,,,,
"Apple iPhone 7, 256gb | Black | Local Stock (Pre-Owned)",https://www.bidorbuy.co.za/item/305635601/Apple_iPhone_7_256gb_Black_Local_Stock_Pre_Owned.html,"
  ,  iPhone 7  iOS  4.5 to 4.9 Inches  12 Megapixels or more",1,"R8,750.",10/20/2017,Concept Cellular,https://www.bidorbuy.co.za/seller/949989/Concept_Cellular,"
	,	
	  ,Get it first from..., , ,In stock,  (24/48 Delivery Service available),Condition: This Item is Pre-owned, 8/10,Colors in stock : Black.,Supplied with Original Box and charger.,Massive saving!, , ,      ,Actual pictures, , ,  , , , , ,Terms,Orders are processed systematically, allow up to 24 working hours for your order to be processed.,We strive to ensure every transaction results in a positive rating on both sides. If there is anything you are not satisfied on, please contact us.,Please ask any questions ,before, you Bid or Buy,
  ,
,    
"
,,,,,,,,
iPhone 4S 64GB With Lots of Free Accessories!,https://www.bidorbuy.co.za/item/308337059/iPhone_4S_64GB_With_Lots_of_Free_Accessories.html,"
  ,  iPhone 4S  64GB  iOS  3.9 Inches & Under  5 Megapixels or more",1,"R1,050.",10/20/2017,Belgrecan,https://www.bidorbuy.co.za/seller/2439336/Belgrecan,"
	,	
	  ,Ahhhhh - the iPhone 4S. It's a classic isn't it?! This may have been my longest lasting phone, and it was with great sadness that I relegated it to the drawer after holding onto it for as long as I possibly could. They really don't make them like this guy anymore. I hope he finds a good new home!,This particular iPhone 4S is of the ,64GB variety,, which means you can store audio, video, photos and anything else for that matter to your heart's content. My favourite thing about it was that I could carry my whole music library.,The phone still runs smoothly and has been reformatted to factory settings. All you need to do to set it up!,Please note, payment must be made within 48 hours of the auction closing and bids from negative or zero rated users will not be accepted.,With the phone, you will also receive:,The original box (can you believe it?!),An iPhone USB charging cable,A 2-prong USB charging adaptor for a wall socket,A charging dock!!!,A special cable doo-hicky that allows you to hook it up to a TV,A retractable cable that allows you to hook it up to RCA audio inputs (like on a high fidelity receiver),In other words, this phone comes with everything you could possibly want or need!,The phone's condition,The phone's condition is definitely in working order. It did have a smashed back plate at one stage but was faithfully serviced and the back plate was replaced. The front display has some signs of wear & tear and the screen image sometimes looks a little washed out, but there are no broken pixels and it works! Both cameras do function fine, just don't expect miracles, especially in low light.,The battery was replaced (twice in fact) and still functions ok. For light use, it will last till the evening. For heavy use, you may need to charge it during the day.,
  ,
,    
"
,,,,,,,,
Apple iphone 6  Space Grey ***,https://www.bidorbuy.co.za/item/307514270/Apple_iphone_6_Space_Grey.html,"
  ,  iPhone 6  iOS",1,"R1,102.",10/19/2017,zah_Cell,https://www.bidorbuy.co.za/seller/2590795/zah_Cell,"
	,	
	  , ,Apple iphone 6 space grey for sale. Phone is in a good condition,                    with signs of usage. The price has been reduced due to the phone              having a cracked screen and not turning on. All functions worked                  prior to the phone LCD being cracked. As the phone no longer turns                on, we are unable to test all the functions of the phone currently.                      The charge port also seems too tight for the charger, may have some             dust which needs to be cleaned out. With a new LCD, and cleaning of              the charge port the phone may work 100%, or may have other issues.,Selling this phone as-is, for spares or repairs only!!,Pictures of the phone when it was functional: , , , Auction includes Phone only, ,R80 SHIPPING ON Normal MAIL, R140 FOR SPEED SERVICES and R200 door to door (Via SAPO).,Please add 4% for insurance if required., ,PAYMENT MUST BE MADE WITHIN 24 HOURS AFTER THE END OF THE AUCTION., ,Should you have any problems after receiving the phone, please contact us and well try our best to help. The phone is in a good condition and you will get exactly what is described, so there shouldn't be any issues, , ,
  ,
,    
"
,,,,,,,,
iPAD AIR  !!!!! BARGAIN!!!! BRAND NEW CONDITION!!!!!,https://www.bidorbuy.co.za/item/309082525/iPAD_AIR_BARGAIN_BRAND_NEW_CONDITION.html,"
  ,  iPhone 3G  16GB  iOS",1,"R4,000.",10/19/2017,KznAudio,https://www.bidorbuy.co.za/seller/2245328/KznAudio,"
	,	
	  , ,1 x iPad Air 16gb silver wifi only,used and in excellent condition rating 9.9/10 !!!!! Comes with charger + usb cable + pouch !!!! Top glass was changed a few months ago and is in perfect condition aswell !!!! Device works 100% !!!! Glass screen guard fitted before despatch !!!!! All accessories non oem!!!  No collections!! No bidders outside South Africa!!! Payment must be done 24hrs of auction closing!!!! Happy bidding!!! :-), ,
  ,
,    
"
,,,,,,,,
