Title,URL,Product,Items Available,Final Price,Winning bid,Date closed,Seller name,Seller page,Description
APPLE IPAD MINI | 64GB | CELLULAR + WiFi | BLACK | IPAD MINI | MD542HC/A,https://www.bidorbuy.co.za/item/309531148/APPLE_IPAD_MINI_64GB_CELLULAR_WiFi_BLACK_IPAD_MINI_MD542HC_A.html,Apple  iPad Mini  64 GB  4G + Wi-Fi,1,"R3,250.,R3,500.","R3,250.00   24 Oct 10:08  ",10/24/2017,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,APPLE IPAD MINI | 64GB | CELLULAR + WiFi | BLACK | IPAD MINI | MD542HC/A, ,7,9"" LED | Camera 5MP iSight | A5 chip 1GHz Dual-Core CPU,***  IPAD MINI  ***, COMES WITH CHARGER & USB CABLE, ,GOOD CONDITION, , , , , , , , ,
  ,
,    
"
,,,,,,,,,
IPAD MINI 4 | 16GB | 4G CELLULAR & WIFI | GOLD | RETINA |  A1550 | MK712HC/A | TOUCH ID FINGERPRINT,https://www.bidorbuy.co.za/item/309239499/IPAD_MINI_4_16GB_4G_CELLULAR_WIFI_GOLD_RETINA_A1550_MK712HC_A_TOUCH_ID_FINGERPRINT.html,Apple  iPad Mini 4  16 GB  4G + Wi-Fi,1,"R3,500.,R3,800.","R3,500.00   23 Oct 21:31  ",10/24/2017,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,APPLE IPAD MINI 4 | 16GB | 4G CELLULAR & WIFI | GOLD | RETINA DISPLAY | MK712HC/A | TOUCH ID FINGERPRINT, ,*** IPAD MINI 4***, , , , ,COMES WITH CHARGER & USB CABLE,EXCELLENT CONDITION OVERALL - , DINGS ON CORNERS,WHAT YOU SEE BELOW IS WHAT YOU GET,THESE ARE ACTUAL PICTURES OF THE ITEM ON AUCTION, ,  , ,   , ,  , ,OTHER BARGAINS ON AUCTIONS THIS WEEK, , , , , , ,
  ,
,    
"
,,,,,,,,,
iPad,https://www.bidorbuy.co.za/item/309691495/iPad.html,Apple  iPad Pro  32 GB  Wi-Fi,1,"R3,500.,R4,500.","R3,500.00   23 Oct 20:32  ",10/23/2017,braampie,https://www.bidorbuy.co.za/seller/466976/braampie,"
	,	
	  , iPad Pro 32 Gb,13.9"" - huge,With stand & cover,Can be used as mini laptop,With cable and earphones, ,
  ,
,    
"
,,,,,,,,,
Apple iPad air 2,https://www.bidorbuy.co.za/item/308662070/Apple_iPad_air_2.html,Apple  iPad Air 2   64 GB  Wi-Fi,1,"R4,000.",,10/23/2017,Malete1993,https://www.bidorbuy.co.za/seller/3449608/Malete1993,"
	,	
	  ,Still in good condition gold range apple iPad, ,
  ,
,    
"
,,,,,,,,,
IPAD AIR | 16GB | 4G | WiFi | MD791HC/A | SPACE GREY | APPLE  ***  RETINA DISPLAY  ***,https://www.bidorbuy.co.za/item/309440189/IPAD_AIR_16GB_4G_WiFi_MD791HC_A_SPACE_GREY_APPLE_RETINA_DISPLAY.html,Apple  iPad Air  16 GB  4G + Wi-Fi,1,"R3,500.,R3,750.",,10/23/2017,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,IPAD AIR | 16GB | 4G | WiFi | MD791HC/A | SPACE GREY | APPLE,***  RETINA DISPLAY  ***, , ,COMES WITH CHARGER & USB CABLE ,PLUS BOX, , ,
  ,
,    
"
,,,,,,,,,
APPLE IPAD MINI | 16GB | WiFi | MD531HC/A | WHITE | GENUINE APPLE | IPAD MINI,https://www.bidorbuy.co.za/item/309464424/APPLE_IPAD_MINI_16GB_WiFi_MD531HC_A_WHITE_GENUINE_APPLE_IPAD_MINI.html,Apple  iPad Mini  16 GB  Wi-Fi,1,"R1,995.,R2,200.",,10/23/2017,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,APPLE IPAD MINI | 16GB | WiFi | WHITE | GENUINE APPLE | IPAD MINI,***  IPAD MINI  ***, , COMES WITH CHARGER & USB CABLE ONLY,EXCELLENT CONDITION - ONE TINY SCRATCH ON SCREEN,WHAT YOU SEE BELOW IS WHAT YOU GET,THESE ARE ACTUAL PICTURES OF THE ITEM ON AUCTION, , , , , , , , ,
  ,
,    
"
,,,,,,,,,
Samsung Galaxy Tab S 16GB SM-T805 - {Good condition}(6 Month Warranty),https://www.bidorbuy.co.za/item/306273890/Samsung_Galaxy_Tab_S_16GB_SM_T805_Good_condition_6_Month_Warranty.html,Samsung  16 GB  4G + Wi-Fi,1,"R3,399.",,10/28/2017,EpicDeals,https://www.bidorbuy.co.za/seller/2922559/EpicDeals,"
	,	
	  , ,This Samsung Galaxy Tab 16GB is a fantastic tab from Samsung that impressed us with it's immersive experience while looking at the screen. The colors just seem to pop out at you while you're using it. It was quick and functional through all our tests and gave us no problems. ,This particular device has had a new screen fitted so the screen looks immaculate! The back casing and frame show minor general signs of wear and tear, but nothing that affects performance, and nothing irritating that you'll notice while using the device. ,This device comes without a box or accessories. ,Yalcin - ""excellent service item received in very good condition will do business again thank you"",Please make payment within 48 hours of ordering or we will relist the product for sale and file an SNC.,Please Note: All our devices are local stock and will be dispatched within two working days of receiving payment. We have overnight courier delivery to any Major City in South Africa via The Courier Guy service and will send the tracking number once the device has been sent out. In order to qualify for overnight delivery we must receive your payment before 2:30pm on a working day aside from Friday and assuming the following day is not a public holiday (our couriers do not work on public holidays and weekends). ,
  ,
,    
"
,,,,,,,,,
"*Phone Function* Samsung Galaxy Tab 2 P5100 Titanium 10.1 inch, 32GB, 3G + Bluetooth Folio Keyboard",https://www.bidorbuy.co.za/item/310356858/_Phone_Function_Samsung_Galaxy_Tab_2_P5100_Titanium_10_1_inch_32GB_3G_Bluetooth_Folio_Keyboard.html,Samsung  Galaxy Tab 2  32 GB  3G + Wi-Fi,1,"R1,609.","1 at R1,609.00    27 Oct 13:48  ",10/27/2017,mikemudzi,https://www.bidorbuy.co.za/seller/2638759/mikemudzi,"
	,	
	  ,WITH PHONE FUNCTION + BLUETOOTH KEYBOARD CASE.., , , ,-- THIS BUNDLE DEAL IS WORTH WELL OVER R4000 --, , ,(PICTURES FOR ILLUSTRATION ONLY), , , , , , , ,GENUINE HIGH QUALITY SAMSUNG BKC-1B1 BLUETOOTH FOLIO KEYBOARD, , , , , , ,CLICK HERE FOR TECH SPECS, ,SAMSUNG GALAXY TAB 2 P5100 10.1 INCH + BLUETOOTH FOLIO KEYBOARD,32GB,3G + WIFI,PHONE FUNCTION,Excellent 9 out of 10 condition,R150 Courier shipping to your door (2 - 3 Business Days). 3% Insurance Additional, , , , ,
  ,
,    
"
,,,,,,,,,
"*Phone Function* Samsung Galaxy Tab 2 P5100 Titanium 10.1 inch, 32GB, 3G + Bluetooth Folio Keyboard",https://www.bidorbuy.co.za/item/309725522/_Phone_Function_Samsung_Galaxy_Tab_2_P5100_Titanium_10_1_inch_32GB_3G_Bluetooth_Folio_Keyboard.html,Samsung  Galaxy Tab 2  32 GB  3G + Wi-Fi,1,"R1,610.","1 at R1,610.00    25 Oct 22:29  ",10/25/2017,mikemudzi,https://www.bidorbuy.co.za/seller/2638759/mikemudzi,"
	,	
	  ,WITH PHONE FUNCTION + BLUETOOTH KEYBOARD CASE.., , , ,-- THIS BUNDLE DEAL IS WORTH WELL OVER R4000 --, , ,(PICTURES FOR ILLUSTRATION ONLY), , , , , , , ,GENUINE HIGH QUALITY SAMSUNG BKC-1B1 BLUETOOTH FOLIO KEYBOARD, , , , , , ,CLICK HERE FOR TECH SPECS, ,SAMSUNG GALAXY TAB 2 P5100 10.1 INCH + BLUETOOTH FOLIO KEYBOARD,32GB,3G + WIFI,PHONE FUNCTION,Excellent 9 out of 10 condition,R150 Courier shipping to your door (2 - 3 Business Days). 3% Insurance Additional, , , , ,
  ,
,    
"
,,,,,,,,,
Samsung Galaxy Tab A 16GB Grey SM-P555 {Poor - Cracked Screen},https://www.bidorbuy.co.za/item/306187248/Samsung_Galaxy_Tab_A_16GB_Grey_SM_P555_Poor_Cracked_Screen.html,Samsung  Galaxy Tab A  16 GB  3G + Wi-Fi,1,"R1,799.",,10/25/2017,EpicDeals,https://www.bidorbuy.co.za/seller/2922559/EpicDeals,"
	,	
	  ,Screen,:, Glass is cracked, but the display still functions perfectly. Touch sensitivity is 100% working. ,Frame,:, Good Condition! Minor evidence of previous use is visible on the frame of this device. , ,Back Casing,:, Some scratches are visible here, but no major dents (see photos). , ,Functions,:, All system functions are working 100% on this device. , ,Special Mention,:, If you're looking at value for money, this device is for you! The cracked screen does not affect performance at all and it is still usable. For this price, it's a bargain!, ,Accessories,:, This device is sold as is: No accessories, box, or warranty. The S Pen is included., ,Charles - ""Speedy delivery. Order as advertised. Thank you."", , ,Please make payment within 48 hours of ordering or we will relist the product for sale and file an SNC., Please Note: All our devices are local stock and will be dispatched within two working days of receiving payment. We have overnight courier delivery to any Major City in South Africa via The Courier Guy service and will send the tracking number once the device has been sent out. In order to qualify for overnight delivery we must receive your payment before 2:30pm on a working day aside from Friday and assuming the following day is not a public holiday (our couriers do not work on public holidays and weekends). ,
  ,
,    
"
