Title,URL,Product,Items Available,Final Price,Winning bid,Date closed,Seller name,Seller page,Description
**EXCELLENT**MacBook PRO 15**QUAD Core i7**256 SSD**8GB Memory**ATI HD GRAPHICS**,https://www.bidorbuy.co.za/item/309698208/_EXCELLENT_MacBook_PRO_15_QUAD_Core_i7_256_SSD_8GB_Memory_ATI_HD_GRAPHICS.html,"MacBook Pro † 15 inch"" † 256GB †8 GB Ram †",1,"R8,100.,R12,999","R8,100.00 † 25†Oct†23:25 †",10/25/2017,EZ TECH,https://www.bidorbuy.co.za/seller/1733659/EZ_TECH,"
	,	
	  ,IN†EXCELLENT Condition ,Apple MacBook Pro with 15"" HD†IPS Display and ATI,SUPPLIED WITH MAGSAFE CHARGER† ,IN STOCK | 24/48 DELIVERY SERVICE AVAILABLE,†,With    over 5 million pixels in the 15-inch model, images take on a new  level   of realism and text appears as sharp as a printed page.,†,†,KEY SPECIFICATIONS,15.6"" HD LED-Backlit with IPS Technology ,Processor: Intel QUAD†Core i7 2,0 GHz (Turbo Boost upto 3,2 GHz),RAM: 8GB 1600 MHz DDR3, (Upgrade option to 16GB RAM Available upon checkout),HDD: 256GB†SSD†,Graphics: ATI†RADEON†HD6490M,Built-in 720p FaceTime HD camera,Video support: Dual display and Video mirroring,Backlit Keyboard & Multi touch Touchpad with Gesture support,Ports: HDMI, 2x USB 3,0, 2x Thunderbolt, headphone port, SD card,Operating System: OS X 10 El Capitan,†Weight: 2,02kg,9 Hour Battery life,IMMACULATE CONDITION | SUPPLIED WITH CHARGER | ORIGINAL BOX NOT INCLUDED,†,†,
  ,
,    
"
,,,,,,,,,
MONSTER GAMING SPEC HP Envy TouchSmart I Convertible Laptop I 2.5GHz Intel Core i7 I 8GB Ram I 256GB,https://www.bidorbuy.co.za/item/309821820/MONSTER_GAMING_SPEC_HP_Envy_TouchSmart_I_Convertible_Laptop_I_2_5GHz_Intel_Core_i7_I_8GB_Ram_I_256GB.html,"HP † 15.6"" † 256GB †8GB Ram †2.5Ghz † Dedicated",1,"R6,310.,R10,000","R6,310.00 † 25†Oct†20:59 †",10/25/2017,M_N_N,https://www.bidorbuy.co.za/seller/656586/M_N_N,"
	,	
	  ,HP - ENVY x360 ,2-in-1, 15.6"" ,Touch-Screen, Laptop,† ,Intel Core ,i7-6500U 2.5 GHz,†,8 GB DDR4 SDRAM,†,256GB Hard Drive,Nvidia GeForce 930M 2GB DEDICATED GRAPHICS,Aluminium finish,Bluetooth - HDMI - HD Webcam - ,Backlit Keyboard, - No DVD - Win10,GENENRIC CHARGER,CONDITION 8/10,SHIPPING : R300 INCLUDING INSURANCE COURIER(DOOR TO DOOR) TO MAJOR CITIES,†,†,
  ,
,    
"
,,,,,,,,,
"MACBOOK PRO 15,  LATE 2010  MODEL, CORE i7, 8GB, 1TB, 15"" DISPLAY",https://www.bidorbuy.co.za/item/309822096/MACBOOK_PRO_15_LATE_2010_MODEL_CORE_i7_8GB_1TB_15_DISPLAY.html,MacBook Pro † 1TB †8 GB Ram †2.2Ghz or more †,1,"R7,402.,R14,500","R7,402.00 † 25†Oct†21:01 †",10/25/2017,M_N_N,https://www.bidorbuy.co.za/seller/656586/M_N_N,"
	,	
	  ,†,MACBOOK† PRO†15,LATE 2010,15"" DISPLAY,CORE i7,8GB MEMORY,1TB HARD DRIVE,GOOD BATTERY LIFE,INTEL GRAPHICS 3000 512MB,GOT SCRATCHES UNDER THE MACBOOK,OVERALL GOOD ,CONDITION,COMES WITH MACBOOK AND ORIGINAL 60W CHARGER CHARGER,†,SHIPPING : R250 INCLUDING INSURANCE VIA COURIER TO MAJOR CITIES,
  ,
,    
"
,,,,,,,,,
"IPHONE 7, 32B, WITH CHARGER, EARPHONES AND WITH BOX - PLEASE READ",https://www.bidorbuy.co.za/item/309821744/IPHONE_7_32B_WITH_CHARGER_EARPHONES_AND_WITH_BOX_PLEASE_READ.html,Apple† iPhone 7† 32GB† iOS,1,"R3,320.,R9,500.","R3,320.00 † 25†Oct†11:50 †",10/25/2017,M_N_N,https://www.bidorbuy.co.za/seller/656586/M_N_N,"
	,	
	  ,†,IPHONE 7,32GB,SILVER,COMES COMPLETE WITH ,CHARGER,EARPHONES,COME WITH BOX,EXCELLENT CONDITION,FULLY WORKING,CONDITION 8/10,SCREEN HAS A CRACK ON IT BUT SCREEN FULLY WORKS (NOT ORIGINAL SCREEN),†,SHIPPING : R130 COURIER DOOR TO DOOR MAJOR CITIES,
  ,
,    
"
,,,,,,,,,
"MacBook ""Core M"" 1.1Ghz 12inch RETINA GOLD (Early 2015 Model) | 8GB RAM | 256GB SSD | 2304x1440",https://www.bidorbuy.co.za/item/309632289/MacBook_Core_M_1_1Ghz_12inch_RETINA_GOLD_Early_2015_Model_8GB_RAM_256GB_SSD_2304x1440.html,"MacBook † 12 inch"" † 256GB †8 GB Ram †1.1Ghz or more †",1,"R12,990,R13,500",,10/25/2017,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,MacBook ""Core M"" 1.1Ghz 12inch RETINA GOLD (Early 2015 Model) | 8GB RAM | 256GB SSD | 2304x1440†,†,** RETINA DISPLAY **, ,†,*** GENUINE APPLE *** ,Comes with Charger,†,†,MacBook 12-inch,†,RETINA ,†,Core M 1.1 GHz,  ,8 GB†DDR3 RAM,256GB SSD STORAGE,INTEL HD GRAPHICS 5300 1536 MB,2304 X 1440 PIXELS,Bluetooth Module ,iSight WEBCAM,WIRELESS ,†,MAC OS X 10.11 El Capitan,†,ACTUAL IMAGES SHOWN BELOW,DING IN ONE CORNER,†,†,†,†,
  ,
,    
"
,,,,,,,,,
HP ELITEBOOK 8760W | CORE i7-2670QM 2.20GHZ | 4GB DDR3 RAM | 500GB HDD | 17 INCH LAPTOP,https://www.bidorbuy.co.za/item/310547033/HP_ELITEBOOK_8760W_CORE_i7_2670QM_2_20GHZ_4GB_DDR3_RAM_500GB_HDD_17_INCH_LAPTOP.html,"HP † 17"" † 500GB †4GB Ram †2.2Ghz † Integrated",1,"R4,790.,R4,990.",,10/30/2017,TradeRouteAuctions,https://www.bidorbuy.co.za/seller/424919/TradeRouteAuctions,"
	,	
	  ,HP ELITEBOOK 8760W | CORE i7-2670QM 2.20GHZ | 4GB DDR3 RAM | 500GB HDD | 17 INCH LAPTOP ,WINDOWS 10 PRO 64 BIT ,NVIDIA GRAPHICS,CONDITION 7.5/10,DENTS ON TOP AND SIDES,SCREEN IS NEAT - GOOD WORKING CONDITION,††,COMES WITH CHARGER AND BATTERY,†,†WHAT YOU SEE BELOW IS WHAT YOU GET,THESE ARE ACTUAL PICTURES OF THE ITEM ON AUCTION,†,†,†,
  ,
,    
"
,,,,,,,,,
